indice_tiempo,tipo_transporte,turistas
2012-01-01,Automóvil,8439141
2012-01-01,Ómnibus,3325297
2012-01-01,Avión,305923
2012-01-01,Otros,403505
2012-04-01,Automóvil,3667828
2012-04-01,Ómnibus,1440955
2012-04-01,Avión,174272
2012-04-01,Otros,141409
2012-07-01,Automóvil,3271562
2012-07-01,Ómnibus,1740126
2012-07-01,Avión,262292
2012-07-01,Otros,210884
2012-10-01,Automóvil,3951814
2012-10-01,Ómnibus,1604279
2012-10-01,Avión,215354
2012-10-01,Otros,175939
2013-01-01,Automóvil,7863973
2013-01-01,Ómnibus,2904756
2013-01-01,Avión,196258
2013-01-01,Otros,304553
2013-04-01,Automóvil,3833576
2013-04-01,Ómnibus,1595979
2013-04-01,Avión,210270
2013-04-01,Otros,32442
2013-07-01,Automóvil,4503526
2013-07-01,Ómnibus,1661651
2013-07-01,Avión,360982
2013-07-01,Otros,67597
2013-10-01,Automóvil,4540084
2013-10-01,Ómnibus,1789341
2013-10-01,Avión,264748
2013-10-01,Otros,113087
2014-01-01,Automóvil,7851841
2014-01-01,Ómnibus,3241993
2014-01-01,Avión,381165
2014-01-01,Otros,177615
2014-04-01,Automóvil,3841455
2014-04-01,Ómnibus,1329290
2014-04-01,Avión,228400
2014-04-01,Otros,68900
2014-07-01,Automóvil,4146255
2014-07-01,Ómnibus,1785363
2014-07-01,Avión,301325
2014-07-01,Otros,21677
2014-10-01,Automóvil,3717766
2014-10-01,Ómnibus,1520258
2014-10-01,Avión,260675
2014-10-01,Otros,49587
2015-01-01,Automóvil,8323550
2015-01-01,Ómnibus,2844095
2015-01-01,Avión,386576
2015-01-01,Otros,118255
2015-04-01,Automóvil,3076656
2015-04-01,Ómnibus,1202068
2015-04-01,Avión,211032
2015-04-01,Otros,240917
2015-07-01,Automóvil,3620976
2015-07-01,Ómnibus,1397428
2015-07-01,Avión,478767
2015-07-01,Otros,108997
2015-10-01,Automóvil,3478039
2015-10-01,Ómnibus,1322487
2015-10-01,Avión,296876
2015-10-01,Otros,66075
2016-01-01,Automóvil,6782372
2016-01-01,Ómnibus,2590729
2016-01-01,Avión,318535
2016-01-01,Otros,109051
2016-04-01,Automóvil,2055084
2016-04-01,Ómnibus,887585
2016-04-01,Avión,211132
2016-04-01,Otros,37954
2016-07-01,Automóvil,4114164
2016-07-01,Ómnibus,1733931
2016-07-01,Avión,517085
2016-07-01,Otros,118523
2016-10-01,Automóvil,4565066
2016-10-01,Ómnibus,1157795
2016-10-01,Avión,215264
2016-10-01,Otros,150635
2017-01-01,Automóvil,7488784
2017-01-01,Ómnibus,2358519
2017-01-01,Avión,480824
2017-01-01,Otros,28923
2017-04-01,Automóvil,3029217
2017-04-01,Ómnibus,1261951
2017-04-01,Avión,282593
2017-04-01,Otros,52433
2017-07-01,Automóvil,5213992
2017-07-01,Ómnibus,2065527
2017-07-01,Avión,564643
2017-07-01,Otros,559672
2017-10-01,Automóvil,4928922
2017-10-01,Ómnibus,1704344
2017-10-01,Avión,252539
2017-10-01,Otros,102002
2018-01-01,Automóvil,8029861
2018-01-01,Ómnibus,2768610
2018-01-01,Avión,465603
2018-01-01,Otros,157291
2018-04-01,Automóvil,2717868
2018-04-01,Ómnibus,1083962
2018-04-01,Avión,333647
2018-04-01,Otros,67516
2018-07-01,Automóvil,4011961
2018-07-01,Ómnibus,938978
2018-07-01,Avión,488635
2018-07-01,Otros,53652
2018-10-01,Automóvil,4656075
2018-10-01,Ómnibus,1302560
2018-10-01,Avión,364163
2018-10-01,Otros,82028
2019-01-01,Automóvil,7343404
2019-01-01,Ómnibus,2009449
2019-01-01,Avión,390987
2019-01-01,Otros,216891
2019-04-01,Automóvil,2923636
2019-04-01,Ómnibus,973200
2019-04-01,Avión,333292
2019-04-01,Otros,46182
2019-07-01,Automóvil,4168927
2019-07-01,Ómnibus,1331881
2019-07-01,Avión,541701
2019-07-01,Otros,56755
2019-10-01,Automóvil,4508337
2019-10-01,Ómnibus,1345826
2019-10-01,Avión,430707
2019-10-01,Otros,135541
2020-01-01,Automóvil,6440727
2020-01-01,Ómnibus,1793024
2020-01-01,Avión,450743
2020-01-01,Otros,106577
2020-04-01,Automóvil,141419
2020-04-01,Ómnibus,24988
2020-04-01,Avión,111
2020-04-01,Otros,8345
